manuscript_id,elife_doi_version_str,hypothesis_id,imgur_url,cdn_url
95160,2,cwSuOl7wEe-QLN9Wt8XDeA,https://i.imgur.com/Dj6ep3g.jpg,s3://elife-cdn/public-review-media/95160/v2/Dj6ep3g.jpg
95160,2,cwSuOl7wEe-QLN9Wt8XDeA,https://i.imgur.com/xWfB3lo.jpg,s3://elife-cdn/public-review-media/95160/v2/xWfB3lo.jpg
94070,2,eyWwsC2FEe-XV68rzEpDjQ,https://i.imgur.com/iKYqFSq.jpg,s3://elife-cdn/public-review-media/94070/v2/iKYqFSq.jpg
94070,2,eyWwsC2FEe-XV68rzEpDjQ,https://i.imgur.com/dBE57tR.jpg,s3://elife-cdn/public-review-media/94070/v2/dBE57tR.jpg
94070,2,eyWwsC2FEe-XV68rzEpDjQ,https://i.imgur.com/ORkzrc7.jpg,s3://elife-cdn/public-review-media/94070/v2/ORkzrc7.jpg
94070,2,eyWwsC2FEe-XV68rzEpDjQ,https://i.imgur.com/5QPnmrC.jpg,s3://elife-cdn/public-review-media/94070/v2/5QPnmrC.jpg
94070,2,eyWwsC2FEe-XV68rzEpDjQ,https://i.imgur.com/MtkapMo.jpg,s3://elife-cdn/public-review-media/94070/v2/MtkapMo.jpg
95398,2,k44ZaqNrEe-cAStBz5YnpQ,https://i.imgur.com/U0Wn9MZ.jpg,s3://elife-cdn/public-review-media/95398/v2/U0Wn9MZ.jpg
95398,2,k44ZaqNrEe-cAStBz5YnpQ,https://i.imgur.com/1xRiwuI.jpg,s3://elife-cdn/public-review-media/95398/v2/1xRiwuI.jpg
95398,2,k44ZaqNrEe-cAStBz5YnpQ,https://i.imgur.com/MNt3Tyz.jpg,s3://elife-cdn/public-review-media/95398/v2/MNt3Tyz.jpg
95398,2,k44ZaqNrEe-cAStBz5YnpQ,https://i.imgur.com/Qvzo7VW.jpg,s3://elife-cdn/public-review-media/95398/v2/Qvzo7VW.jpg
95398,2,k44ZaqNrEe-cAStBz5YnpQ,https://i.imgur.com/Y2GSVOL.jpg,s3://elife-cdn/public-review-media/95398/v2/Y2GSVOL.jpg
95398,2,k44ZaqNrEe-cAStBz5YnpQ,https://i.imgur.com/bpMyUHH.jpg,s3://elife-cdn/public-review-media/95398/v2/bpMyUHH.jpg
95398,2,k44ZaqNrEe-cAStBz5YnpQ,https://i.imgur.com/uxZ8sLt.jpg,s3://elife-cdn/public-review-media/95398/v2/uxZ8sLt.jpg
95398,2,k44ZaqNrEe-cAStBz5YnpQ,https://i.imgur.com/ShE5u45.jpg,s3://elife-cdn/public-review-media/95398/v2/ShE5u45.jpg
95398,2,k44ZaqNrEe-cAStBz5YnpQ,https://i.imgur.com/XTEOszI.jpg,s3://elife-cdn/public-review-media/95398/v2/XTEOszI.jpg
89421,2,-e_1fqyuEe-hkdcXUBb2og,https://i.imgur.com/8w4sVQi.jpg,s3://elife-cdn/public-review-media/89421/v2/8w4sVQi.jpg
93256,2,01DGjgPdEe-7T2MuqVwoTQ,https://i.imgur.com/MuZhZdu.jpg,s3://elife-cdn/public-review-media/93256/v2/MuZhZdu.jpg
93256,2,01DGjgPdEe-7T2MuqVwoTQ,https://i.imgur.com/oSIXYfI.jpg,s3://elife-cdn/public-review-media/93256/v2/oSIXYfI.jpg
93256,2,01DGjgPdEe-7T2MuqVwoTQ,https://i.imgur.com/QrgiZve.jpg,s3://elife-cdn/public-review-media/93256/v2/QrgiZve.jpg
93256,2,01DGjgPdEe-7T2MuqVwoTQ,https://i.imgur.com/0CiQWfa.jpg,s3://elife-cdn/public-review-media/93256/v2/0CiQWfa.jpg
89950,3,87ubPCPmEe-Xhmde8AHEdA,https://i.imgur.com/gPLkfvR.jpg,s3://elife-cdn/public-review-media/89950/v3/gPLkfvR.jpg
89999,2,AwvT2NWxEe688T8GgazoVw,https://i.imgur.com/9oGcILV.jpg,s3://elife-cdn/public-review-media/89999/v2/9oGcILV.jpg
89999,2,AwvT2NWxEe688T8GgazoVw,https://i.imgur.com/Dr2koKK.jpg,s3://elife-cdn/public-review-media/89999/v2/Dr2koKK.jpg
89999,2,AwvT2NWxEe688T8GgazoVw,https://i.imgur.com/RgTbVfn.jpg,s3://elife-cdn/public-review-media/89999/v2/RgTbVfn.jpg
89519,2,FBPawjeBEe-o2a_VWWE2qQ,https://i.imgur.com/4wM4zxc.jpg,s3://elife-cdn/public-review-media/89519/v2/4wM4zxc.jpg
96150,2,PxJohHvmEe-AtPc8jycXeg,https://i.imgur.com/hRtkpbf.jpg,s3://elife-cdn/public-review-media/96150/v2/hRtkpbf.jpg
87252,1,RbRdGvPJEe2KJTetn8O75Q,https://i.imgur.com/WRGFyvn.jpg,s3://elife-cdn/public-review-media/87252/v1/WRGFyvn.jpg
